UF;MUNICIPIO;TOTAL;MUNICIPIO_clean;id_municipio;longitude;latitude
BA;FEIRA DE SANTANA                   ;97;FEIRA DE SANTANA;332.0;-38.966293;-12.266429
BA;FILADÉLFIA                         ;1;FILADÉLFIA;333.0;-40.14371;-10.740475
BA;FORMOSA DO RIO PRETO               ;4;FORMOSA DO RIO PRETO;336.0;-45.19298;-11.032812
BA;FÁTIMA                             ;1;FÁTIMA;330.0;-38.223891;-10.616013
BA;GANDU                              ;3;GANDU;337.0;-39.474651;-13.744101
BA;GLÓRIA                             ;1;GLÓRIA;340.0;-38.254397;-9.343822
BA;GUANAMBI                           ;19;GUANAMBI;345.0;-42.779943;-14.223066
BA;HELIÓPOLIS                         ;1;HELIÓPOLIS;347.0;-38.290664;-10.682539
BA;IBICARAÍ                           ;1;IBICARAÍ;350.0;-39.591434;-14.857877
BA;IBICOARA                           ;2;IBICOARA;351.0;-41.283989;-13.405918
BA;IBICUÍ                             ;2;IBICUÍ;352.0;-39.987915;-14.84496
BA;IBIPEBA                            ;2;IBIPEBA;353.0;-42.019515;-11.643775
BA;IBIRAPUÃ                           ;3;IBIRAPUÃ;357.0;-40.112907;-17.683151
BA;IBIRATAIA                          ;2;IBIRATAIA;358.0;-39.645935;-14.064316
BA;IBITIARA                           ;12;IBITIARA;359.0;-42.217946;-12.650181
BA;IBITITÁ                            ;4;IBITITÁ;360.0;-41.97481;-11.541426
BA;IBOTIRAMA                          ;2;IBOTIRAMA;361.0;-43.21669;-12.177876
BA;IGAPORÃ                            ;4;IGAPORÃ;363.0;-42.715508;-13.774025
BA;ILHÉUS                             ;51;ILHÉUS;366.0;-39.04602;-14.793045
BA;INHAMBUPE                          ;4;INHAMBUPE;367.0;-38.355048;-11.780955
BA;IPIAÚ                              ;2;IPIAÚ;369.0;-39.735252;-14.12263
BA;IPIRÁ                              ;2;IPIRÁ;370.0;-39.735941;-12.156057
BA;IRARÁ                              ;2;IRARÁ;375.0;-38.763139;-12.050449
BA;IRECÊ                              ;22;IRECÊ;376.0;-41.853462;-11.303317
BA;ITABELA                            ;5;ITABELA;377.0;-39.559318;-16.573188
BA;ITABERABA                          ;4;ITABERABA;378.0;-40.305897;-12.524182
BA;ITABUNA                            ;52;ITABUNA;379.0;-39.278056;-14.787573
BA;ITAETÉ                             ;1;ITAETÉ;381.0;-40.96774;-12.983121
BA;ITAGI                              ;1;ITAGI;382.0;-40.013112;-14.1615
BA;ITAJUÍPE                           ;7;ITAJUÍPE;387.0;-39.369823;-14.678766
BA;ITAMARAJU                          ;16;ITAMARAJU;388.0;-39.538569;-17.03782
BA;ITANHÉM                            ;1;ITANHÉM;392.0;-40.332139;-17.164207
BA;ITAPARICA                          ;3;ITAPARICA;393.0;-38.67995;-12.893205
BA;ITAPETINGA                         ;10;ITAPETINGA;396.0;-40.248236;-15.247533
BA;ITAPÉ                              ;1;ITAPÉ;394.0;-39.423858;-14.887641
BA;ITATIM                             ;1;ITATIM;401.0;-39.695199;-12.709888
BA;ITIRUÇU                            ;1;ITIRUÇU;402.0;-40.147186;-13.529043
BA;ITORORÓ                            ;1;ITORORÓ;404.0;-40.068401;-15.109988
BA;ITUAÇU                             ;5;ITUAÇU;405.0;-41.300284;-13.810651
BA;ITUBERÁ                            ;1;ITUBERÁ;406.0;-39.148059;-13.724936
